facility_id,facility_name,facility_type,district,latitude,longitude,gwl_value,rainfall_value,river_level_value,temperature_value,humidity_value,wind_speed_value,dist_to_river_km,rolling_rain_3d,river_anomaly,heat_stress,moisture_risk,storm_risk,storage_flag,crs,risk_level,last_updated,load_stress,water_availability,flood_safety,rainfall_stability,electricity_reliability
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,Hospital,RAIPUR,21.2439374,81.6145067,-6.336,0.5,277.637,20.5,76.37,40.0,16.592264382331017,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,Hospital,RAIPUR,21.2166146,81.6572553,-6.336,0.5,277.637,20.5,76.37,40.0,15.51514671204701,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6956629976,Vidya Hospital And Kidney Centre,Hospital,RAIPUR,21.2491409,81.6617082,-6.336,0.5,277.637,20.5,76.37,40.0,18.877992997829086,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6956655133,Shri Aurobindo Medical Research Centre,Hospital,RAIPUR,21.2145777,81.6542597,-6.336,0.5,277.637,20.5,76.37,40.0,15.157984429552657,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6956655140,Shree Sai Care Hospital,Hospital,RAIPUR,21.2398899,81.6698393,-6.336,0.5,277.637,20.5,76.37,40.0,18.40111323561792,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6956655145,Shree Medishine Hospital - Raipur,Hospital,RAIPUR,21.2200322,81.6655757,-6.336,0.5,277.637,20.5,76.37,40.0,16.30728127841694,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6956655152,Sarvodaya Hospital and Maternity Center,Hospital,RAIPUR,21.2715555,81.6710436,-6.336,0.5,277.637,20.5,76.37,40.0,21.536249216322688,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120029,Visharad Hospital,Hospital,RAIPUR,21.2391162,81.6413422,-6.336,0.5,277.637,20.5,76.37,40.0,16.96222281182811,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120034,Urmila Memorial Multispeciality Hospital,Hospital,RAIPUR,21.2582818,81.6553302,-6.336,0.5,277.637,20.5,76.37,40.0,19.49829653244447,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6957120039,"Upadhyay Hospital, Raipur",Hospital,RAIPUR,21.2625908,81.5873668,-6.336,0.5,277.637,20.5,76.37,40.0,18.234869623715333,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
