facility_id,facility_name,facility_type,district,crs,risk_level,last_updated
node/6957120062,Subba Rao Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965495374,Sahai Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6957120077,Sobhagya Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6957120082,"Shri Ram Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6957503647,"Pathak Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6957503652,Gbg Kidney Care Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965495354,Modi Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965495359,Jagjivan Urology Centre,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497709,Ganpati Hospital (Banthia Hospital),Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6950645773,Devi Laxmi Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6953541281,Aashirwad Fertility and Endoscopy Center,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6956627655,Sai Kalayan Hospital And Icu,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6956627650,Sai Sushrusha Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6956627660,Sai Baba Eye Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6968263373,Pt.J N M Medical College Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497724,Jeewan Memorial Hospital For Plastic Surgery and Uro,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497714,"Yashwant Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497719,"Tripathi Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497699,Nigam Ent Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497689,P D Jethani Memorial Hospital and Diagnostic Center,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965495384,"Pragya Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497729,Om Netra Kendra,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834122,Bachpan Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834136,Bhattar Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834146,City Hospital And Research Centre,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965834156,Devkripa Hospital and Doctor Plaza,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6965497749,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
