facility_id,facility_name,facility_type,district,latitude,longitude,type_multiplier,pred_outage_prob_24h,crs,risk_level,priority_score,predicted_risk_label
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,Hospital,RAIPUR,21.2439374,81.6145067,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,Hospital,RAIPUR,21.2166146,81.6572553,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6956629976,Vidya Hospital And Kidney Centre,Hospital,RAIPUR,21.2491409,81.6617082,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6956655133,Shri Aurobindo Medical Research Centre,Hospital,RAIPUR,21.2145777,81.6542597,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6956655140,Shree Sai Care Hospital,Hospital,RAIPUR,21.2398899,81.6698393,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6956655145,Shree Medishine Hospital - Raipur,Hospital,RAIPUR,21.2200322,81.6655757,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6956655152,Sarvodaya Hospital and Maternity Center,Hospital,RAIPUR,21.2715555,81.6710436,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120029,Visharad Hospital,Hospital,RAIPUR,21.2391162,81.6413422,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120034,Urmila Memorial Multispeciality Hospital,Hospital,RAIPUR,21.2582818,81.6553302,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120039,"Upadhyay Hospital, Raipur",Hospital,RAIPUR,21.2625908,81.5873668,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120057,Subham Hospital and Maternity Home,Hospital,RAIPUR,21.2599874,81.6282919,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120062,Subba Rao Hospital,Hospital,RAIPUR,21.2570692,81.6373428,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120067,Srimaa Sarada Arogyadham,Hospital,RAIPUR,21.2308046,81.5954804,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120077,Sobhagya Hospital,Hospital,RAIPUR,21.2740474,81.6335745,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957120082,"Shri Ram Hospital, Raipur",Hospital,RAIPUR,21.2361049,81.6117065,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,Hospital,RAIPUR,21.2724251,81.6717492,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957503647,"Pathak Hospital, Raipur",Hospital,RAIPUR,21.264633,81.6358182,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6957503652,Gbg Kidney Care Hospital,Hospital,RAIPUR,21.2259317,81.6585526,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965495354,Modi Hospital,Hospital,RAIPUR,21.2462123,81.6186909,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965495359,Jagjivan Urology Centre,Hospital,RAIPUR,21.2461698,81.6239078,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965495374,Sahai Hospital,Hospital,RAIPUR,21.2230452,81.656616,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965495384,"Pragya Hospital, Raipur",Hospital,RAIPUR,21.2443828,81.6601836,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497689,P D Jethani Memorial Hospital and Diagnostic Center,Hospital,RAIPUR,21.2789978,81.6376406,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497699,Nigam Ent Hospital,Hospital,RAIPUR,21.2472973,81.6568963,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497709,Ganpati Hospital (Banthia Hospital),Hospital,RAIPUR,21.2458836,81.6474972,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6965497714,"Yashwant Hospital, Raipur",Hospital,RAIPUR,21.2399062,81.62751,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
