SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
79,Ramchandrapur_1,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,RAMANUJNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.93599,83.49926,07-01-2026 16:00,1.0
80,Rihand_Surajpur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,ODGI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.85486,82.77832,23-01-2026 16:00,1.0
81,Ruse,Chhattisgarh SW,22,Chhattisgarh,388,RAJNANDGAON,KHAIRAGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.27763,80.9622,02-01-2026 15:00,0.5
82,Ruse,Chhattisgarh SW,22,Chhattisgarh,388,RAJNANDGAON,KHAIRAGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.27763,80.9622,13-02-2026 08:00,0.5
83,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.0675,29-01-2026 16:00,0.5
84,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.0675,02-02-2026 16:00,0.5
85,Sanawal,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,RAMANUJNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,24.03916,83.38251,21-01-2026 14:00,0.5
86,Sandi,Chhattisgarh SW,22,Chhattisgarh,387,RAIPUR,PALARI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.45456,82.07037,08-01-2026 10:00,0.5
87,Sanna,Chhattisgarh SW,22,Chhattisgarh,380,JASHPUR,BAGICHA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.08575,83.80936,12-01-2026 14:00,0.5
88,Saroda,Chhattisgarh SW,22,Chhattisgarh,383,KORBA,KORBA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.97687,81.14063,03-01-2026 11:00,1.0
