facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_7d,pred_human_impact_prob_7d,priority_score_7d,predicted_risk_label_7d
node/7148125111,Government Hospital Farfoud,Hospital,RAIPUR,21.2743757,81.9506788,0.625,Medium,0.45941280197462725,0.33846917446829106,0.5613087457281365,Medium
node/4994374903,primary government hospital Bangoli,Hospital,RAIPUR,21.4005479,81.8506453,0.625,Medium,0.447196474935835,0.33846917446829106,0.5496839258628193,Medium
node/4445117924,Krishna Public School,School,RAIPUR,21.1943876,81.6635818,0.4781826078822488,Medium,0.19689421790801523,0.33846917446829106,0.2905736229408353,Low
node/7288964616,Om Superspeciality Hospital,Hospital,RAIPUR,21.2292542,81.5986728,0.4781826078822488,Medium,0.19481961940113524,0.33846917446829106,0.2893526041463177,Low
node/6965836202,Mahadev Hospital,Hospital,RAIPUR,21.2294448,81.597827,0.4781826078822488,Medium,0.19350958398908544,0.33846917446829106,0.2888667732161624,Low
node/6965834122,Bachpan Hospital,Hospital,RAIPUR,21.2293683,81.6000053,0.4781826078822488,Medium,0.1932866661134759,0.33846917446829106,0.28867647167619714,Low
node/7288964673,Shri Jagannath Multispeciality Hospital,Hospital,RAIPUR,21.22998,81.600057,0.4781826078822488,Medium,0.1932866661134759,0.33846917446829106,0.28863217623465953,Low
node/6957120067,Srimaa Sarada Arogyadham,Hospital,RAIPUR,21.2308046,81.5954804,0.4781826078822488,Medium,0.19321195277190706,0.33846917446829106,0.2885369600399064,Low
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,Hospital,RAIPUR,21.2142649,81.6503232,0.4781826078822488,Medium,0.19240876527114828,0.33846917446829106,0.2881422082681855,Low
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,21.2130814,81.6537238,0.4781826078822488,Medium,0.18569845002512017,0.33846917446829106,0.285722913661957,Low
node/7288964610,Raipura Hospital,Hospital,RAIPUR,21.2321504,81.6035435,0.4781826078822488,Medium,0.18461352295369438,0.33846917446829106,0.28539377710480224,Low
node/6968280774,"Sanjeewan Hospital, Raipur",Hospital,RAIPUR,21.2208074,81.6410136,0.4781826078822488,Medium,0.18461352295369438,0.33846917446829106,0.28538830424713685,Low
node/4445119946,Shri Ganesh Vinayak Eye Hospital,Hospital,RAIPUR,21.2131689,81.6561777,0.4781826078822488,Medium,0.18450158500529237,0.33846917446829106,0.2853371056595015,Low
node/6956655133,Shri Aurobindo Medical Research Centre,Hospital,RAIPUR,21.2145777,81.6542597,0.4781826078822488,Medium,0.1812388995807461,0.33846917446829106,0.2835259988139819,Low
node/7288964666,Life Line Hospital,Hospital,RAIPUR,21.2328853,81.605519,0.4781826078822488,Medium,0.18049868396208135,0.33846917446829106,0.2832561291113899,Low
node/10939807399,Shreevedam Dental and Aryuvedic Clinic,Hospital,RAIPUR,21.2345837,81.5954368,0.4781826078822488,Medium,0.18033336653155965,0.33846917446829106,0.2830865657393832,Low
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,Hospital,RAIPUR,21.2132613,81.657736,0.4781826078822488,Medium,0.17970786624603072,0.33846917446829106,0.28280532329473684,Low
node/7288964664,Anand Shree Hospital,Hospital,RAIPUR,21.233519,81.604322,0.4781826078822488,Medium,0.17970786624603072,0.33846917446829106,0.28280532329473684,Low
node/7288964681,Rajdhani Super Speciality Hospital,Hospital,RAIPUR,21.2190325,81.6483451,0.4781826078822488,Medium,0.17970786624603072,0.33846917446829106,0.28270579160810194,Low
node/6953541281,Aashirwad Fertility and Endoscopy Center,Hospital,RAIPUR,21.2346486,81.6077931,0.4781826078822488,Medium,0.1744727480842733,0.33846917446829106,0.28062920619215104,Low
node/7288964686,Shubham Hospital,Hospital,RAIPUR,21.23422,81.610285,0.4781826078822488,Medium,0.17425671136329543,0.33846917446829106,0.2797572208895739,Low
node/6965834121,Ayushman Hospital and Diagnostic Institute,Hospital,RAIPUR,21.2345823,81.6097793,0.4781826078822488,Medium,0.16943630862647854,0.33846917446829106,0.27817539036395417,Low
node/4445165297,Dronacharya public school,School,RAIPUR,21.2188586,81.6522695,0.4781826078822488,Medium,0.1687553764150517,0.33846917446829106,0.27792628938391944,Low
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,Hospital,RAIPUR,21.2166146,81.6572553,0.4781826078822488,Medium,0.1685467644168104,0.33846917446829106,0.2778429769833034,Low
node/10939721749,A.S.M DENTAL CLINIC,Hospital,RAIPUR,21.2371135,81.5978925,0.4781826078822488,Medium,0.16847430798077045,0.33846917446829106,0.2777148199661326,Low
node/7288964642,Anjali Children Hospital,Hospital,RAIPUR,21.22115,81.649675,0.4781826078822488,Medium,0.16723564887757447,0.33846917446829106,0.2769909603010378,Low
node/7148125202,"Government hospital,Khokhopara",Hospital,RAIPUR,21.23239,81.6223248,0.4781826078822488,Medium,0.1665134887450427,0.33846917446829106,0.2762248167548851,Low
node/7288964595,Shri Balaji Hospital,Hospital,RAIPUR,21.2261487,81.6397097,0.4781826078822488,Medium,0.1665134887450427,0.33846917446829106,0.2761319756383988,Low
node/6957120082,"Shri Ram Hospital, Raipur",Hospital,RAIPUR,21.2361049,81.6117065,0.4781826078822488,Medium,0.16643963098224265,0.33846917446829106,0.27550501427675805,Low
node/7148125239,Government hospital arang,Hospital,RAIPUR,21.1940118,81.9703912,0.375,High,0.17168400446470033,0.33846917446829106,0.27137137700786396,Low
node/7288964676,Gayatri Hospital,Hospital,RAIPUR,21.239345,81.6038105,0.4781826078822488,Medium,0.1611453031514972,0.33846917446829106,0.2708602681963511,Low
node/6950645773,Devi Laxmi Hospital,Hospital,RAIPUR,21.2233136,81.6522994,0.4781826078822488,Medium,0.15990916281006615,0.33846917446829106,0.2699085383373827,Low
node/6966904907,Shri Manulal Memorial Medical Centre,Hospital,RAIPUR,21.2363311,81.6213289,0.4781826078822488,Medium,0.1589244672291482,0.33846917446829106,0.2692228119164764,Low
node/6965495374,Sahai Hospital,Hospital,RAIPUR,21.2230452,81.656616,0.4781826078822488,Medium,0.15720011377342044,0.33846917446829106,0.26799241149313446,Low
node/7288964599,Jeevan Anmol Hospital,Hospital,RAIPUR,21.2250565,81.6531985,0.4781826078822488,Medium,0.15720011377342044,0.33846917446829106,0.26769629882963564,Low
node/7148125255,District Hospital Raipur,Hospital,RAIPUR,21.2317387,81.6401796,0.4781826078822488,Medium,0.15720011377342044,0.33846917446829106,0.26748373070100023,Low
node/7288964648,District Police Hospital,Hospital,RAIPUR,21.2307216,81.6449518,0.4781826078822488,Medium,0.1554553508102119,0.33846917446829106,0.2665218578802276,Low
node/4445176350,The Radient Way School,School,RAIPUR,21.2451205,81.5880403,0.4781826078822488,Medium,0.15386490509779063,0.33846917446829106,0.26502279795907446,Low
node/6956655145,Shree Medishine Hospital - Raipur,Hospital,RAIPUR,21.2200322,81.6655757,0.4781826078822488,Medium,0.15073795255257727,0.33846917446829106,0.26361201389049904,Low
node/7288964603,Shri Krishna Hospital,Hospital,RAIPUR,21.223641,81.660207,0.4781826078822488,Medium,0.14938666690834304,0.33846917446829106,0.26285655453090384,Low
node/7288964679,Vijaya durga hospital,Hospital,RAIPUR,21.235824,81.63491,0.4781826078822488,Medium,0.14728080210954766,0.33846917446829106,0.2617118259005496,Low
node/7288964641,Kankali Hospital Parisar,Hospital,RAIPUR,21.23854,81.62784,0.4781826078822488,Medium,0.14444282960214794,0.33846917446829106,0.25852508662649093,Low
node/7148125099,Govt. T.B. Hospital,Hospital,RAIPUR,21.2346921,81.6389363,0.4781826078822488,Medium,0.14171595450233113,0.33846917446829106,0.2568386798205537,Low
node/6956629801,Tharani Children Hospital And Dental Clinic,Hospital,RAIPUR,21.2248204,81.6595718,0.4781826078822488,Medium,0.14107565445040823,0.33846917446829106,0.25648050436835435,Low
node/7291844320,Sankalp Hospital,Hospital,RAIPUR,21.2467743,81.5723744,0.4781826078822488,Medium,0.13988613115682624,0.33846917446829106,0.2559186253399152,Low
node/6957503652,Gbg Kidney Care Hospital,Hospital,RAIPUR,21.2259317,81.6585526,0.4781826078822488,Medium,0.13911486101414783,0.33846917446829106,0.2555905732007401,Low
node/5556568170,Navkar Hospital and Maternity Home,Hospital,RAIPUR,21.2284143,81.6545326,0.4781826078822488,Medium,0.1374010964612311,0.33846917446829106,0.2541708410949439,Low
node/6968280856,Arihant Netralaya,Hospital,RAIPUR,21.2359599,81.6381209,0.4781826078822488,Medium,0.13731433272888002,0.33846917446829106,0.25409609648411374,Low
node/7148125258,Shri Khudadad Dungaji Government Ayurved College Hospital,Hospital,RAIPUR,21.244933,81.605817,0.4781826078822488,Medium,0.1369040280147226,0.33846917446829106,0.25371409849771176,Low
node/6965497714,"Yashwant Hospital, Raipur",Hospital,RAIPUR,21.2399062,81.62751,0.4781826078822488,Medium,0.13609327373024838,0.33846917446829106,0.2534647608481882,Low
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,21.2349337,81.6413322,0.4781826078822488,Medium,0.13628593046035273,0.33846917446829106,0.25327161818587574,Low
node/3774564938,bagri nursing home,Hospital,RAIPUR,21.2414376,81.6232005,0.4781826078822488,Medium,0.13622496246743357,0.33846917446829106,0.25275432569914436,Low
node/6956627650,Sai Sushrusha Hospital,Hospital,RAIPUR,21.2352073,81.6418236,0.4781826078822488,Medium,0.1353559468391244,0.33846917446829106,0.2521377552706449,Low
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,Hospital,RAIPUR,21.2439374,81.6145067,0.4781826078822488,Medium,0.13480652045929378,0.33846917446829106,0.251374721787109,Low
node/4445146001,Yashwant Hospital,Hospital,RAIPUR,21.2403202,81.6293508,0.4781826078822488,Medium,0.13371097182645503,0.33846917446829106,0.2506557701378692,Low
node/6965836187,K G N Surical and Maternity Centre,Hospital,RAIPUR,21.2342586,81.645458,0.4781826078822488,Medium,0.13443337638798777,0.33846917446829106,0.25061321443744705,Low
node/6965834146,City Hospital And Research Centre,Hospital,RAIPUR,21.2465523,81.6100636,0.4781826078822488,Medium,0.13081775655458625,0.33846917446829106,0.24864810895028963,Low
node/7288964613,Awasthi Hospital,Hospital,RAIPUR,21.231624,81.6540067,0.4781826078822488,Medium,0.13050902709999596,0.33846917446829106,0.2483575227049219,Low
node/6966792010,Lifeworth Super Speciality Hospital,Hospital,RAIPUR,21.2456986,81.6175885,0.4781826078822488,Medium,0.12928223962381097,0.33846917446829106,0.24743560581104182,Low
node/6965834161,Dr. Jaulkar Ent Hospital,Hospital,RAIPUR,21.2471581,81.6123417,0.4781826078822488,Medium,0.12969305741407836,0.33846917446829106,0.24680168030961516,Low
node/4445126014,Mayoor school,School,RAIPUR,21.2349537,81.6495081,0.4781826078822488,Medium,0.12850873507128324,0.33846917446829106,0.24607160946417414,Low
node/7148125308,Government Hospital,Hospital,RAIPUR,21.2300217,81.6598785,0.4781826078822488,Medium,0.12767879124195514,0.33846917446829106,0.24489879770059156,Low
node/6965495354,Modi Hospital,Hospital,RAIPUR,21.2462123,81.6186909,0.4781826078822488,Medium,0.1275241841056197,0.33846917446829106,0.24445130932664774,Low
node/6957120029,Visharad Hospital,Hospital,RAIPUR,21.2391162,81.6413422,0.4781826078822488,Medium,0.12692066228015011,0.33846917446829106,0.24395233618465395,Low
node/7291844302,Petals Newborn And Children Hospital,Hospital,RAIPUR,21.245081,81.6245086,0.4781826078822488,Medium,0.1263921177776994,0.33846917446829106,0.2421302810685699,Low
node/7288964683,Dr Nigam Hospital,Hospital,RAIPUR,21.2350371,81.6517301,0.4781826078822488,Medium,0.12447492423229338,0.33846917446829106,0.2388834611079054,Low
node/6966904976,Agrasen Hospital,Hospital,RAIPUR,21.2454224,81.6245992,0.4781826078822488,Medium,0.12316398930669054,0.33846917446829106,0.23743336128222758,Low
node/7291844307,Shashwat Hospital,Hospital,RAIPUR,21.244077,81.630207,0.4781826078822488,Medium,0.12115400244114054,0.33846917446829106,0.23323764057141522,Low
node/4446574875,Grass Memorial Ground,School,RAIPUR,21.2385713,81.6450914,0.4781826078822488,Medium,0.12068383463465811,0.33846917446829106,0.23161336828885265,Low
node/4445120486,Holy Heartseducational academy,School,RAIPUR,21.2374171,81.6480843,0.4781826078822488,Medium,0.11993988293698139,0.33846917446829106,0.22862721085145957,Low
node/6965495359,Jagjivan Urology Centre,Hospital,RAIPUR,21.2461698,81.6239078,0.4781826078822488,Medium,0.1190005994238541,0.33846917446829106,0.22573881039781646,Low
node/6965836221,M D Hospital and Iccu,Hospital,RAIPUR,21.2465873,81.6236986,0.4781826078822488,Medium,0.11690605838073949,0.33846917446829106,0.22189220849551455,Low
node/7291844264,"Om Hospital , Burn Plastic & Cosmetic Surgery Center",Hospital,RAIPUR,21.2451108,81.6301308,0.4781826078822488,Medium,0.11360020807399866,0.33846917446829106,0.21594449694642157,Low
node/6283904436,Dispensary,Hospital,RAIPUR,21.2514868,81.6023593,0.4781826078822488,Medium,0.11270804524467666,0.33846917446829106,0.21228145014687488,Low
node/6965834136,Bhattar Hospital,Hospital,RAIPUR,21.242349,81.6395467,0.4781826078822488,Medium,0.10648998490871557,0.33846917446829106,0.20669659774969198,Low
node/6965836192,K.M. Hospital,Hospital,RAIPUR,21.2438524,81.6384199,0.4781826078822488,Medium,0.09929978664524518,0.33846917446829106,0.19688647544710175,Low
node/7291844258,Mamta Hospital,Hospital,RAIPUR,21.246905,81.631597,0.4781826078822488,Medium,0.08440462142530274,0.33846917446829106,0.17323612487025888,Low
node/7291844245,DKS Super Speciality Hospital,Hospital,RAIPUR,21.2449632,81.6412379,0.4781826078822488,Medium,0.08279864666748957,0.33846917446829106,0.1693256802105878,Low
node/7291844243,Virdi Hospital,Hospital,RAIPUR,21.2496368,81.628347,0.4781826078822488,Medium,0.08172685094453787,0.33846917446829106,0.16842939763478396,Low
node/6968280745,Raipur Hospital,Hospital,RAIPUR,21.2468461,81.6415286,0.4781826078822488,Medium,0.08078177388888601,0.33846917446829106,0.16618647210647597,Low
node/7288964653,Dr Manoj Agrwal,Hospital,RAIPUR,21.2437894,81.6504829,0.4781826078822488,Medium,0.08049159419927411,0.33846917446829106,0.16586689758044845,Low
node/6956629796,Piles Care Hospital,Hospital,RAIPUR,21.2454024,81.6468099,0.4781826078822488,Medium,0.08004150910402785,0.33846917446829106,0.16557287041678018,Low
node/8322190354,Daffodils English School,School,RAIPUR,21.2574871,81.6049235,0.4781826078822488,Medium,0.07900286334742272,0.33846917446829106,0.16491213152671985,Low
node/6965497709,Ganpati Hospital (Banthia Hospital),Hospital,RAIPUR,21.2458836,81.6474972,0.4781826078822488,Medium,0.07874675756747619,0.33846917446829106,0.16379990945217723,Low
node/7288964644,We Care Super Specialty Hospital,Hospital,RAIPUR,21.235399,81.668942,0.4781826078822488,Medium,0.07818650465657721,0.33846917446829106,0.16282100120964202,Low
node/6950645749,Chhattisgarh Eye Hospital,Hospital,RAIPUR,21.2392112,81.6621937,0.4781826078822488,Medium,0.07808950514428888,0.33846917446829106,0.16273748604255478,Low
node/4445158557,Bharat Mata higher secondary school,School,RAIPUR,21.2604534,81.5742895,0.4781826078822488,Medium,0.07702072172250064,0.33846917446829106,0.1620165517584876,Low
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,21.2584938,81.6060273,0.4781826078822488,Medium,0.07640047379594644,0.33846917446829106,0.16136394814171423,Low
node/6950645744,Karma Hospital,Hospital,RAIPUR,21.2401756,81.6622585,0.4781826078822488,Medium,0.07607456699506056,0.33846917446829106,0.16104370135798923,Low
node/7291844281,Lotus Hospital & Advance Urology Center,Hospital,RAIPUR,21.2468938,81.6485864,0.4781826078822488,Medium,0.0757766928160753,0.33846917446829106,0.16004532259043847,Low
node/6965497729,Om Netra Kendra,Hospital,RAIPUR,21.2487035,81.6448975,0.4781826078822488,Medium,0.07540081689697074,0.33846917446829106,0.15797861657213064,Low
