facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,flood_risk_prob,water_shortage_risk_prob,power_outage_risk_prob,sanitation_failure_risk_prob,human_impact_risk_prob,flood_risk_label,water_shortage_risk_label,power_outage_risk_label,sanitation_failure_risk_label,human_impact_risk_label,top_risk_type,top_risk_score,alert_flag,alert_level
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,Hospital,RAIPUR,21.2166146,81.6572553,0.4781826078822488,Medium,0.9652430639168169,0.014083082995186841,0.3478940436841697,0.9266228810938334,0.00015769293411755294,High,Low,Medium,High,Low,flood,0.9652430639168169,True,Critical
node/6956629976,Vidya Hospital And Kidney Centre,Hospital,RAIPUR,21.2491409,81.6617082,0.4781826078822488,Medium,0.9652373306182116,0.014083082995186841,0.3424296546672654,0.9265263011198686,0.00015769293411755294,High,Low,Medium,High,Low,flood,0.9652373306182116,True,Critical
node/6956655133,Shri Aurobindo Medical Research Centre,Hospital,RAIPUR,21.2145777,81.6542597,0.4781826078822488,Medium,0.965220534751475,0.014083082995186841,0.33867944032859554,0.9265085666290602,0.00015769293411755294,High,Low,Medium,High,Low,flood,0.965220534751475,True,Critical
node/6956655140,Shree Sai Care Hospital,Hospital,RAIPUR,21.2398899,81.6698393,0.4781826078822488,Medium,0.9652102075446587,0.014083082995186841,0.3207862601257358,0.926420920113975,0.00016037111279509295,High,Low,Low,High,Low,flood,0.9652102075446587,True,Critical
node/6956655145,Shree Medishine Hospital - Raipur,Hospital,RAIPUR,21.2200322,81.6655757,0.4781826078822488,Medium,0.9652000544363625,0.014083082995186841,0.302396223556414,0.9264046482264416,0.0001605098792843147,High,Low,Low,High,Low,flood,0.9652000544363625,True,Critical
node/6956655152,Sarvodaya Hospital and Maternity Center,Hospital,RAIPUR,21.2715555,81.6710436,0.4781826078822488,Medium,0.9651628007692828,0.014083082995186841,0.28172151863043465,0.9261938805371877,0.0001605098792843147,High,Low,Low,High,Low,flood,0.9651628007692828,True,Critical
node/6957120029,Visharad Hospital,Hospital,RAIPUR,21.2391162,81.6413422,0.4781826078822488,Medium,0.9651575241275528,0.014083082995186841,0.2751147157806778,0.9261683470369579,0.0001605098792843147,High,Low,Low,High,Low,flood,0.9651575241275528,True,Critical
node/6957120034,Urmila Memorial Multispeciality Hospital,Hospital,RAIPUR,21.2582818,81.6553302,0.4781826078822488,Medium,0.9651086230269691,0.014083082995186841,0.2738825693944252,0.9261064884606595,0.0001606829294288156,High,Low,Low,High,Low,flood,0.9651086230269691,True,Critical
node/6957120039,"Upadhyay Hospital, Raipur",Hospital,RAIPUR,21.2625908,81.5873668,0.4781826078822488,Medium,0.9651028801489909,0.014083082995186841,0.2733464053324656,0.9260972897727493,0.0001606829294288156,High,Low,Low,High,Low,flood,0.9651028801489909,True,Critical
node/6957120057,Subham Hospital and Maternity Home,Hospital,RAIPUR,21.2599874,81.6282919,0.4781826078822488,Medium,0.9650503567847837,0.014083082995186841,0.27270491958555393,0.9260999444211184,0.0001606829294288156,High,Low,Low,High,Low,flood,0.9650503567847837,True,Critical
node/6957120062,Subba Rao Hospital,Hospital,RAIPUR,21.2570692,81.6373428,0.4781826078822488,Medium,0.9649753781666397,0.014083082995186841,0.2705178587207113,0.9260867475493061,0.0001606829294288156,High,Low,Low,High,Low,flood,0.9649753781666397,True,Critical
node/6957120067,Srimaa Sarada Arogyadham,Hospital,RAIPUR,21.2308046,81.5954804,0.4781826078822488,Medium,0.9649697419542772,0.014083082995186841,0.2694523377616684,0.9260764251386999,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9649697419542772,True,Critical
node/6957120077,Sobhagya Hospital,Hospital,RAIPUR,21.2740474,81.6335745,0.4781826078822488,Medium,0.964951271515447,0.014083082995186841,0.2656395195480525,0.9259799060342,0.00016068292946418532,High,Low,Low,High,Low,flood,0.964951271515447,True,Critical
node/6957120082,"Shri Ram Hospital, Raipur",Hospital,RAIPUR,21.2361049,81.6117065,0.4781826078822488,Medium,0.9649212408568854,0.014083082995186841,0.26207328684532694,0.9258644555713466,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9649212408568854,True,Critical
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,Hospital,RAIPUR,21.2724251,81.6717492,0.4781826078822488,Medium,0.9649005512518253,0.014083082995186841,0.2570378432683719,0.9258268386753151,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9649005512518253,True,Critical
node/6957503652,Gbg Kidney Care Hospital,Hospital,RAIPUR,21.2259317,81.6585526,0.4781826078822488,Medium,0.964883048320177,0.014083082995186841,0.24809749873117762,0.9257864042974036,0.00016068292946418532,High,Low,Low,High,Low,flood,0.964883048320177,True,Critical
node/6957503647,"Pathak Hospital, Raipur",Hospital,RAIPUR,21.264633,81.6358182,0.4781826078822488,Medium,0.9648809670310214,0.014083082995186841,0.2487487910273967,0.9257864042974036,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9648809670310214,True,Critical
node/6965495354,Modi Hospital,Hospital,RAIPUR,21.2462123,81.6186909,0.4781826078822488,Medium,0.9647455001443918,0.014083082995186841,0.2290973548183833,0.9255672451378869,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9647455001443918,True,Critical
node/6965495359,Jagjivan Urology Centre,Hospital,RAIPUR,21.2461698,81.6239078,0.4781826078822488,Medium,0.9646566485994209,0.014083082995186841,0.22908900318347672,0.9255366484825579,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9646566485994209,True,Critical
node/6965495374,Sahai Hospital,Hospital,RAIPUR,21.2230452,81.656616,0.4781826078822488,Medium,0.9646220483564608,0.014083082995186841,0.2285917189089032,0.925470748208518,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9646220483564608,True,Critical
node/6965495384,"Pragya Hospital, Raipur",Hospital,RAIPUR,21.2443828,81.6601836,0.4781826078822488,Medium,0.9645457893892281,0.014083082995186841,0.21854299228694454,0.9252772743765125,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9645457893892281,True,Critical
node/6965497689,P D Jethani Memorial Hospital and Diagnostic Center,Hospital,RAIPUR,21.2789978,81.6376406,0.4781826078822488,Medium,0.9644527866025109,0.014083082995186841,0.2175747087651406,0.9251868797190103,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9644527866025109,True,Critical
node/6965497699,Nigam Ent Hospital,Hospital,RAIPUR,21.2472973,81.6568963,0.4781826078822488,Medium,0.9643439363024812,0.014083082995186841,0.2175649592738446,0.9251768158606527,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9643439363024812,True,Critical
node/6965497709,Ganpati Hospital (Banthia Hospital),Hospital,RAIPUR,21.2458836,81.6474972,0.4781826078822488,Medium,0.9643439363024812,0.014083082995186841,0.2172514068505236,0.9250668051214737,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9643439363024812,True,Critical
node/6965497714,"Yashwant Hospital, Raipur",Hospital,RAIPUR,21.2399062,81.62751,0.4781826078822488,Medium,0.9642388600956592,0.014083082995186841,0.2104356950956713,0.9249510955952962,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9642388600956592,True,Critical
node/6965497724,Jeewan Memorial Hospital For Plastic Surgery and Uro,Hospital,RAIPUR,21.2496099,81.6580936,0.4781826078822488,Medium,0.9641773809371216,0.014083082995186841,0.17322853223295898,0.9249572640245751,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9641773809371216,True,Critical
node/6965497729,Om Netra Kendra,Hospital,RAIPUR,21.2487035,81.6448975,0.4781826078822488,Medium,0.9641043794148615,0.014083082995186841,0.17323700246961352,0.9248746348788067,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9641043794148615,True,Critical
node/6965497734,Roopjeevan Hospital,Hospital,RAIPUR,21.2567003,81.6410096,0.4781826078822488,Medium,0.964011276931954,0.014083082995186841,0.17323700246961352,0.9246855261957618,0.00016068292946418532,High,Low,Low,High,Low,flood,0.964011276931954,True,Critical
node/6965497739,Jubesta Hospital,Hospital,RAIPUR,21.257246,81.6435068,0.4781826078822488,Medium,0.9639414163706362,0.014083082995186841,0.15170850665761598,0.924097056974905,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9639414163706362,True,Critical
node/6965497744,"Jain Hospital, Raipur",Hospital,RAIPUR,21.2559026,81.6448666,0.4781826078822488,Medium,0.9636805079633123,0.014083082995186841,0.15118817145835065,0.923889562955929,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9636805079633123,True,Critical
node/6965497749,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Hospital,RAIPUR,21.2573909,81.6466855,0.4781826078822488,Medium,0.9635374545868024,0.014083082995186841,0.15111637892716784,0.9238375313209491,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9635374545868024,True,Critical
node/6965497759,Ekta Institute Of Child Health,Hospital,RAIPUR,21.2471211,81.6566214,0.4781826078822488,Medium,0.9629462037840758,0.014083082995186841,0.14322734398136946,0.9237418093454292,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9629462037840758,True,Critical
node/6965834116,Ayush Hospital and Maternity Home,Hospital,RAIPUR,21.2623121,81.6739498,0.4781826078822488,Medium,0.9627638481820656,0.014083082995186841,0.10605595685065299,0.9237418093454292,0.00016068292946418532,High,Low,Low,High,Low,flood,0.9627638481820656,True,Critical
